key,spp,locality,lat,lon,COI
JRD302,Papilio zelicaon ,"Canada: Alberta, Wintering Hills West",51.2552,-112.62614,Z
JRD303,Papilio zelicaon ,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,Z
JRD304,Papilio zelicaon ,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,Z
JRD305,Papilio machaon dodi,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,M
JRD306,Papilio zelicaon ,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,Z
JRD307,Papilio zelicaon ,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,Z
JRD308,Papilio machaon dodi,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,M
JRD309,Papilio zelicaon ,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,Z
JRD310,Papilio machaon dodi,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,M
JRD311,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD312,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD313,Papilio zelicaon ,"Canada: Alberta, Wintering Hills West",51.2552,-112.62614,Z
JRD314,Papilio zelicaon ,"Canada: Alberta, Wintering Hills West",51.2552,-112.62614,Z
JRD315,Papilio zelicaon ,"Canada: Alberta, Hand Hills",51.53452,-112.3661,Z
JRD316,Papilio machaon dodi,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,M
JRD317,Papilio zelicaon ,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,Z
JRD318,Papilio zelicaon ,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,Z
JRD319,Papilio zelicaon ,"Canada: Alberta, Wintering Hills West",51.2552,-112.62614,Z
JRD320,Papilio zelicaon ,"Canada: Alberta, Wintering Hills West",51.2552,-112.62614,Z
JRD321,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD322,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD323,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
